date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:29	786/786	---MCZ	200	added ('OK')	text/xml	date:Sat,%2017%20Dec%202022%2021:31:29%20GMT	http://dashunfur.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/xmlrpc0db0.php	(from http://dashunfur.com/)
16:31:29	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-4ed4785da9bc0%22	http://dashunfur.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-includes/wlwmanifest.xml	(from http://dashunfur.com/)
16:31:30	2297/2297	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Dec%202022%2021:31:30%20GMT	http://dashunfur.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdashunfur.com%2F	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-json/oembed/1.0/embedf0fc.json	(from http://dashunfur.com/)
16:31:31	1728/1728	---M--	200	added ('OK')	image/png	etag:%226c0-5eff596a7420e%22	http://dashunfur.com/wp-content/uploads/2022/12/cropped-ebay-32x32.png	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/uploads/2022/12/cropped-ebay-32x32.png	(from http://dashunfur.com/)
16:31:31	2372/2372	---MCZ	200	added ('OK')	text/xml	date:Sat,%2017%20Dec%202022%2021:31:30%20GMT	http://dashunfur.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdashunfur.com%2F&format=xml	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-json/oembed/1.0/embed573c	(from http://dashunfur.com/)
16:31:34	89684/89684	---M--	200	added ('OK')	application/javascript	etag:%2215e54-5e9085b47de00%22	http://dashunfur.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-includes/js/jquery/jquery.mina7a0.js	(from http://dashunfur.com/)
16:31:35	23668/23668	---M--	200	added ('OK')	image/png	etag:%225c74-5eff596a6ccbd%22	http://dashunfur.com/wp-content/uploads/2022/12/cropped-ebay-192x192.png	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/uploads/2022/12/cropped-ebay-192x192.png	(from http://dashunfur.com/)
16:31:35	21659/21659	---M--	200	added ('OK')	image/png	etag:%22549b-5eff596a71ac0%22	http://dashunfur.com/wp-content/uploads/2022/12/cropped-ebay-180x180.png	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/uploads/2022/12/cropped-ebay-180x180.png	(from http://dashunfur.com/)
16:31:36	149095/149095	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2021:31:36%20GMT	http://dashunfur.com/product-2/	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/product-2/index.html	(from http://dashunfur.com/)
16:31:37	4957/4957	---M--	200	added ('OK')	application/javascript	etag:%22135d-5eff5831a6f25%22	http://dashunfur.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.9.1	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/js/webpack.runtime.mina560.js	(from http://dashunfur.com/)
